timestamp,demanda_ejecutado,programacion_diaria,reprogramacion_diaria
2023-01-07 04:30:00,6193.18131,6125.3201,6248.12233
2023-01-07 05:00:00,6216.11991,6130.94944,6253.1814
2023-01-07 05:30:00,6180.91973,6143.09089,6279.302
2023-01-07 06:00:00,5999.75525,6147.51124,6310.753
2023-01-07 06:30:00,6108.85234,6171.36402,6376.8406
2023-01-07 07:00:00,6061.18224,6248.23897,6435.82041
2023-01-07 07:30:00,6368.98303,6363.92743,6584.94527
2023-01-07 08:00:00,6392.07815,6582.23342,6620.46684
2023-01-07 08:30:00,6705.48874,6825.45341,6946.0934
2023-01-07 09:00:00,6848.79439,6961.65719,6969.49164
2023-01-07 09:30:00,7060.55485,7080.31199,7246.03248
2023-01-07 10:00:00,7035.24441,7182.3663,7266.57073
2023-01-07 10:30:00,7099.22687,7254.90045,7416.63783
2023-01-07 11:00:00,7293.3591,7286.9275,7431.34942
2023-01-07 11:30:00,7347.76931,7297.20094,7466.78381
2023-01-07 12:00:00,7338.74037,7294.72078,7462.52538
2023-01-07 12:30:00,7279.55522,7273.69217,7363.52124
2023-01-07 13:00:00,7210.64063,7231.28461,7389.48936
2023-01-07 13:30:00,7091.45755,7181.52299,7285.92963
2023-01-07 14:00:00,7031.64111,7132.92373,7284.13844
2023-01-07 14:30:00,7069.133,7095.09228,7201.34984
2023-01-07 15:00:00,7080.92461,7056.31229,7192.21482
2023-01-07 15:30:00,7037.31288,7013.22738,7092.58092
2023-01-07 16:00:00,6985.57448,6975.59821,7081.15837
2023-01-07 16:30:00,6959.15681,6943.0549,7001.28811
2023-01-07 17:00:00,6879.00579,6882.89883,6974.62874
2023-01-07 17:30:00,6837.70375,6850.94997,6926.90649
2023-01-07 18:00:00,6784.17123,6779.34268,6890.75564
2023-01-07 18:30:00,6865.33156,6981.84823,7158.94506
2023-01-07 19:00:00,7098.28301,7106.46602,7143.08898
2023-01-07 19:30:00,7180.34832,7152.97806,7297.74717
2023-01-07 20:00:00,7182.67112,7175.92542,7284.29258
2023-01-07 20:30:00,7190.2507,7163.84803,7333.22404
2023-01-07 21:00:00,7138.3047,7142.29395,7322.80057
2023-01-07 21:30:00,7180.1065,7098.59451,7282.67905
2023-01-07 22:00:00,7018.59278,7034.89965,7265.78756
2023-01-07 22:30:00,7013.91496,6960.38034,7078.93652
2023-01-07 23:00:00,6781.6848,6835.94271,7070.96589
2023-01-07 23:30:00,6623.52526,6708.28744,6832.64511
2023-01-08 00:00:00,6547.42419,6556.04013,6818.30884
2023-01-08 00:30:00,6348.32824,6567.51745,6607.50328
2023-01-08 01:00:00,6283.98963,6419.99669,6596.75864
2023-01-08 01:30:00,6178.14081,6312.88563,6348.45901
2023-01-08 02:00:00,6031.959,6234.36631,6353.74169
2023-01-08 02:30:00,6040.929,6121.66991,6223.5764
2023-01-08 03:00:00,6025.497,6070.73609,6233.49789
2023-01-08 03:30:00,5951.686,6018.06401,6103.46079
2023-01-08 04:00:00,5896.326,5946.6779,6104.78389
2023-01-08 04:30:00,5951.982,5902.93225,5979.81026
2023-01-08 05:00:00,5872.877,5874.8062,5981.12448
2023-01-08 05:30:00,5924.449,5802.85801,5885.20868
2023-01-08 06:00:00,5715.001,5716.21328,5912.25166
2023-01-08 06:30:00,5627.485,5668.75153,5881.7506
2023-01-08 07:00:00,5631.245,5702.81147,5935.82874
2023-01-08 07:30:00,5679.522,5793.09865,6009.61285
2023-01-08 08:00:00,5777.153,5931.83545,6036.46827
2023-01-08 08:30:00,5952.69,6140.85243,6288.46775
2023-01-08 09:00:00,6081.106,6299.8662,6283.86865
2023-01-08 09:30:00,6176.714,6399.10876,6535.90078
2023-01-08 10:00:00,6145.524,6497.35242,6551.37127
2023-01-08 10:30:00,6351.703,6547.86044,6716.83339
2023-01-08 11:00:00,6389.818,6635.41168,6726.50342
2023-01-08 11:30:00,6383.354,6680.7619,6750.84042
2023-01-08 12:00:00,6410.669,6693.65424,6758.72591
2023-01-08 12:30:00,6466.681,6662.94927,6678.66585
2023-01-08 13:00:00,6452.083,6685.32151,6699.86173
2023-01-08 13:30:00,6457.527,6649.01138,6622.69116
2023-01-08 14:00:00,6273.629,6663.03023,6634.1127
2023-01-08 14:30:00,6401.739,6656.1405,6557.99231
2023-01-08 15:00:00,6370.50395,6608.65489,6550.39412
2023-01-08 15:30:00,6373.81287,6589.3051,6479.78552
2023-01-08 16:00:00,6370.104,6530.86525,6477.25447
2023-01-08 16:30:00,6312.624,6418.36514,6442.28131
2023-01-08 17:00:00,6341.131,6324.55446,6407.30989
2023-01-08 17:30:00,6239.322,6359.80416,6504.92298
2023-01-08 18:00:00,6295.078,6524.07073,6474.45089
2023-01-08 18:30:00,6599.994,6830.38718,7017.04228
2023-01-08 19:00:00,6989.062,7155.75026,7007.32358
2023-01-08 19:30:00,7088.343,7256.64503,7260.71167
2023-01-08 20:00:00,7186.984,7281.35895,7247.87118
2023-01-08 20:30:00,7192.082,7304.24846,7343.6717
2023-01-08 21:00:00,7064.043,7259.86985,7329.01368
2023-01-08 21:30:00,7091.815,7182.58102,7176.66985
2023-01-08 22:00:00,6802.01,7021.83588,7163.0275
2023-01-08 22:30:00,6661.598,6912.07721,6838.91874
2023-01-08 23:00:00,6547.91,6762.17514,6837.50538
2023-01-08 23:30:00,6416.642,6549.52768,6554.52897
2023-01-09 00:00:00,6228.443,6251.13287,6534.58879
2023-01-09 00:30:00,6150.785,6077.29973,6345.34448
2023-01-09 01:00:00,5995.713,5986.57346,6347.14734
2023-01-09 01:30:00,5871.11569,5891.04602,6157.60951
2023-01-09 02:00:00,5730.55854,5832.68052,6151.25548
2023-01-09 02:30:00,5728.158,5787.878,6015.2671
2023-01-09 03:00:00,5774.186,5772.82299,5996.94549
2023-01-09 03:30:00,5664.20956,5759.65169,5928.05984
2023-01-09 04:00:00,5633.97379,5747.95504,5930.73753
2023-01-09 04:30:00,5648.55045,5767.23747,5904.37424
2023-01-09 05:00:00,5707.50484,5815.49481,5903.2048
2023-01-09 05:30:00,5725.637,5839.12733,5925.62477
2023-01-09 06:00:00,5714.256,5911.5336,5942.99869
2023-01-09 06:30:00,5897.551,6040.28034,6020.75853
2023-01-09 07:00:00,6066.239,6163.89076,6077.88151
2023-01-09 07:30:00,6361.9,6327.91343,6348.1685
2023-01-09 08:00:00,6484.21192,6467.63672,6378.43045
2023-01-09 08:30:00,6790.33386,6654.98964,6738.61792
2023-01-09 09:00:00,6763.60749,6826.21952,6755.41449
2023-01-09 09:30:00,7070.61363,6945.41878,7087.72369
2023-01-09 10:00:00,7133.1634,7056.39176,7094.43046
2023-01-09 10:30:00,7240.23423,7160.01477,7351.80431
2023-01-09 11:00:00,7316.493,7236.74953,7358.09938
2023-01-09 11:30:00,7304.374,7306.11338,7496.22176
2023-01-09 12:00:00,7364.685,7312.57302,7492.82551
